unidentified_Siganus	Osphronemus_goramy	Amazonsprattus_scintilla	unidentified_Cobitinae	Xiphophorus_hellerii	Papyrocranus_congoensis	Synodus_variegatus	Pseudaesopia_japonica	Coreoperca_herzi	Nemipterus_bathybius	Rasbora_argyrotaenia	Eleginops_maclovinus	Leptoderma_lubricum	Lycothrissa_crocodilus	Acheilognathus_yamatsutae	Ethmidium_maculatum	Onychostoma_rara	Clinocottus_analis	Stolephorus_commersonnii	Chauliodus_sloani	Barbatula_barbatula	Platydoras_armatulus	Jaydia_lineata	Calotomus_japonicus	Masturus_lanceolatus	Scriptaphyosemion_schmitti	Scriptaphyosemion_bertholdi	Novumbra_hubbsi	Acheilognathus_majusculus	Lepomis_punctatus	Stomias_atriventer	Zenion_japonicum	Biwia_zezera	Pseudolaubuca_engraulis	Orestias_ascotanensis	Geophagus_brasiliensis	Triplophysa_xiangxiensis	Polydactylus_plebeius	Channa_striata	Epigonus_denticulatus	unidentified_Sardinella	Omegophora_armilla	Macrochirichthys_macrochirus	Phenacogrammus_interruptus	unidentified_Tenualosa	Sargocentron_rubrum	Danio_albolineatus	Ehirava_fluviatilis	Pterothrissus_gissu	Enteromius_eburneensis	unidentified_Squalidus	Sinocyclocheilus_altishoulderus	Anoplocapros_lenticularis	Nessorhamphus_ingolfianus	Campostoma_anomalum	Petroscirtes_breviceps	Chelonodontops_patoca	Trichiurus_lepturus	Pegasus_volitans	Dallia_pectoralis	Pseudogobius_fulvicaudus	Peltorhamphus_novaezeelandiae	Gymnothorax_niphostigmus	Oxuderces_dentatus	Xiphophorus_couchianus	Holacanthus_africanus	Sillago_sinica	unidentified_Oneirodes	Etheostoma_caeruleum	Labracinus_cyclophthalmus	Osteochilus_hasseltii	unidentified_Nocomis	Cosmochilus_harmandi	Sardinella_longiceps	Rhodeus_lighti	Plecoglossus_altivelis	Bagre_panamensis	Lactarius_lactarius	Neoachiropsetta_milfordi	Cololabis_saira	Henicorhynchus_siamensis	Sarcocheilichthys_parvus	Gobiobotia_brevibarba	Pethia_stoliczkana	unidentified_Ariidae	unidentified_Paramonacanthus	Nemichthys_scolopaceus	Vaillantella_maassi	Centropyge_multifasciata	Abudefduf_bengalensis	Oxyurichthys_formosanus	Anoplogaster_cornuta	Scomberomorus_niphonius	Pangasianodon_gigas	Paralichthys_dentatus	Psilorhynchus_sucatio	Homaloptera_ogilviei	Hyporhamphus_sajori	Notropis_imeldae	Heterotis_niloticus	Symphysodon_aequifasciata	Bufoceratias_thele	unidentified_Rhinogobius	Brycon_orthotaenia	Opsaridium_ubangiense	Lophiosilurus_alexandri	Cephalopholis_boenak	Pseudoplatystoma_magdaleniatum	Pristipomoides_multidens	Lepomis_gibbosus	Henicorhynchus_lineatus	Ailia_coila	Cephalopholis_sexmaculata	unidentified_Ostracion	Tampichthys_ipni	Asterorhombus_intermedius	unidentified_Scomberomorus	Pennahia_argentata	Microdevario_nana	Acestrorhynchus_sp._NM.2010	Puntigrus_partipentazona	Scalicus_amiscus	Rhyacichthys_aspro	Pseudorasbora_elongata	Nematalosa_erebi	unidentified_Ditrema	Xenotoca_eiseni	unidentified_Myripristis	unidentified_Acanthaphritis	Pundamilia_nyererei	unidentified_Ambastaia	Gymnomuraena_zebra	Eleotris_oxycephala	Parasinilabeo_assimilis	Eucyclogobius_newberryi	Triplophysa_yarkandensis	unidentified_Gastromyzontidae	Noturus_taylori	Aphyosemion_kouamense	unidentified_Pseudorasbora	unidentified_Balistoidea	Petruichthys_brevis	Squalomugil_nasutus	Dactyloptena_tiltoni	Gonorynchus_abbreviatus	Engraulis_mordax	Neoceratias_spinifer	unidentified_Carangidae	Haplophryne_mollis	Andinoacara_pulcher	Triplophysa_dorsalis	Spinachia_spinachia	Tridentiger_barbatus	Barilius_bendelisis	Myroconger_compressus	Scartelaos_gigas	Glossanodon_semifasciatus	Pangasius_pangasius	Pachypanchax_playfairii	Copadichromis_trimaculatus	Thryssa_hamiltonii	Chalceus_macrolepidotus	Syngnathoides_biaculeatus	Leiopotherapon_unicolor	unidentified_Acreichthys	unidentified_Lagocephalus	Trigonostigma_espei	Aldrovandia_affinis	Chaenogobius_gulosus	Priacanthus_tayenus	Plectropomus_areolatus	Eurypegasus_draconis	Enteromius_pobeguini	Paratrypauchen_microcephalus	Rhodeus_fangi	Acheilognathus_meridianus	Synchiropus_splendidus	Serrivomer_beanii	Paracirrhites_arcatus	Carapus_bermudensis	Lateolabrax_latus	Tenualosa_toli	Sillago_japonica	unidentified_Pampus	unidentified_Psettodes	Helostoma_temminkii	Nannoperca_australis	Lamprogrammus_niger	Latimeria_chalumnae	Gobiobotia_macrocephala	Paralaubuca_typus	Paracheirodon_axelrodi	Doryichthys_boaja	Halichoeres_trimaculatus	unidentified_Schizopygopsinae	Paracanthurus_hepatus	Apeltes_quadracus	Scaphiodonichthys_acanthopterus	Labeo_cylindricus	Nothobranchius_thierryi	Istigobius_campbelli	Odontobutis_potamophila	unidentified_Triglidae	Sillago_indica	Lophiodes_caulinaris	Pampus_chinensis	Campylomormyrus_compressirostris	Acrocheilus_alutaceus	Aphyosemion_cyanostictum	Pseudogobius_javanicus	Hippocampus_mohnikei	unidentified_Sisoridae	Paretroplus_maculatus	Fundulus_diaphanus	Hime_japonica	unidentified_Eleotris	Cranoglanis_bouderius	unidentified_Mystus	Chrosomus_erythrogaster	Pseudohomaloptera_leonardi
ClaidentTutorial__Sample01__MiFish	3	0	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	2	0	0	6	3	3	0	0	0	2	0	0	4	0	4	0	2	0	5	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	6	0	1	0	1	0	2	4	0	0	0	0	0	0	0	0	3	3	0	0	0	5	0	0	2	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	6	0	0	1	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
ClaidentTutorial__Sample02__MiFish	3	2	4	0	0	3	0	0	1	0	0	0	0	0	1	0	4	0	0	0	4	7	0	0	5	4	3	2	4	0	0	0	0	2	0	9	0	4	0	0	6	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	4	4	2	0	2	2	0	0	0	0	0	0	0	0	5	5	0	0	0	3	0	0	1	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	4	1	3	0	0	3	0	6	7	0	0	0	0	0	2	0	4	0	0	4	4	1	0	0	5	4	1	2	3	0	2	0	0	4	0	2	0	2	0	1	3	3	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	3	1	2	4	7	4	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	3	6	1	0	0	0	3	0	5	0	0	0	0	0	4	2	3	0	0	5	3	1	0	0	0	4	2	1	0	0	4	0	0	4	0	2	0	3	0	2	2	3	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	2	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	3	4	3	3	5	6	0	0	0	0	0	0	2	0	2	3	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	3	2	1	0	0	0	7	4	3	0	0	0	0	0	6	2	5	0	0	0	3	4	0	0	0	2	2	4	3	0	5	0	0	2	0	3	3	0	0	3	2	4	6	0	0	0	0	0	3	7	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	3	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	1	2	5	4	2	0	5	5	3	0	0	0	0	0	4	2	1	0	0	1	1	7	0	0	0	4	0	2	2	0	3	0	4	1	0	1	2	3	0	0	4	1	4	0	0	0	0	0	5	1	0	0	1	0	7	0	0	1	0	0	5	0	0	0	4	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	5	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	4	2	6	1	3	3	7	4	1	2	4	0	0	0	3	0	7	3	0	5	1	3	0	0	0	0	0	6	3	0	4	1	4	3	0	4	0	3	0	7	4	1	2	0	0	0	0	0	0	2	0	0	0	4	2	0	0	1	0	3	0	0	0	0	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	2	5	5	4	1	3	7	4	3	0	1	0	0	0	4	4	2	4	0	4	5	3	0	0	0	4	0	0	2	3	4	1	4	1	0	2	2	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	2	2	4	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	2	5	6	4	5	1	4	6	4	1	4	1	2	4	1	2	6	4	0	2	0	3	2	0	0	4	0	6	4	5	1	3	1	0	0	0	2	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	4	3	3	0	0	3	0	1	4	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	6	1	6	1	3	4	3	2	3	4	7	4	1	4	2	1	3	5	3	2	4	3	3	0	0	4	0	4	2	5	0	4	4	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	2	1	0	0	1	0	1	0	1	3	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
